Account ,Date,Transaction Type,No.,Name,Memo/Description,Split,Amount,Balance
,16/12/2021,Bill Payment (Cheque),9376,Kingsmen,,Creditors,"-6,120.86","166,594.05"
,16/12/2021,Cheque,9374,Alphabet GP Ltd,,MARKETING/SELLING:Car Rental,-348.37,"166,245.68"
,17/12/2021,Payment,,James Walton,,Debtors,"5,162.40","171,408.08"
,17/12/2021,Payment,,HH Sheikh Mohammed Al-Sharqi,,Debtors,"186,000.00","357,408.08"
,17/12/2021,Bill Payment (Cheque),9372,Alphabet GP Ltd,,Creditors,-568,"356,840.08"
,17/12/2021,Payment,,Steven F Clark,,Debtors,"6,940.00","363,780.08"
,20/12/2021,Payment,,Armurerie Richard,,Debtors,"30,754.00","394,534.08"
,20/12/2021,Payment,,Tommy Salmon,,Debtors,"13,385.89","407,919.97"
,20/12/2021,Transfer,,,,Natwest Saver ****7829,"-50,000.00","357,919.97"
,21/12/2021,Cheque,9375,EE T Mobile,,MARKETING/SELLING:Telephone Expense,-549.83,"357,370.14"
,22/12/2021,Transfer,,,,Natwest Saver ****7829,"-40,000.00","317,370.14"
,24/12/2021,Payment,,Pablo Gonzalez,,Debtors,88.8,"317,458.94"
,24/12/2021,Bill Payment (Cheque),9377,Bond Fabrications Ltd,,Creditors,"-57,742.80","259,716.14"
,31/12/2021,Payment,,Krister Karki,,Debtors,850,"260,566.14"
,31/12/2021,Cheque,9378,Castle Water,,ADMINISTRATION:Utilities,-24.32,"260,541.82"
,31/12/2021,Journal Entry,3400,,commerz bank Account package fee,-Split-,"-2,025.00","258,516.82"
,31/12/2021,Transfer,,,,Natwest Saver ****7829,"-30,000.00","228,516.82"
,31/12/2021,Payment,,Giancarlo Lugli,,Debtors,"11,614.00","240,130.82"
Total for Commerzbank,,,,,,,"£137,765.40  ",
Nat West 5869,,,,,,,,
,Beginning Balance,,,,,,,1.62
Total for Nat West 5869,,,,,,,,
NatWest ****7810,,,,,,,,
,Beginning Balance,,,,,,,"4,999.81"
,02/01/2021,Payment,,Website Sale,,Debtors,134.88,"5,134.69"
,02/01/2021,Payment,,Website Sale,,Debtors,570.69,"5,705.38"
,02/01/2021,Payment,,Website Sale,,Debtors,320.25,"6,025.63"
,02/01/2021,Payment,,Website Sale,,Debtors,349.83,"6,375.46"
,02/01/2021,Payment,,Website Sale,,Debtors,320.25,"6,695.71"
,02/01/2021,Payment,,Website Sale,,Debtors,142.77,"6,838.48"
,31/12/2021,Bill Payment (Cheque),Maria2186,guntrader.co.uk,,Creditors,-63.6,"1,534.70"
,31/12/2021,Cheque,Maria2187,Aerial Direct,,MARKETING/SELLING:Telephone Expense,-158.35,"1,376.35"
,31/12/2021,Bill Payment (Cheque),Maria2181,Ray St Ledger & Sons,,Creditors,-90,"1,286.35"
,31/12/2021,Bill Payment (Cheque),Maria2168,Aform Tooling Limited,,Creditors,"-3,336.00","-2,049.65"
,31/12/2021,Bill Payment (Cheque),Maria2180,PDQ Freight Ltd,,Creditors,"-11,076.75","-13,126.40"
,31/12/2021,Bill Payment (Cheque),Maria2185,Tweed Media,,Creditors,"-6,360.00","-19,486.40"
,31/12/2021,Bill Payment (Cheque),Maria2173,Emberleaf Workshop,,Creditors,-322.9,"-19,809.30"
,31/12/2021,Bill Payment (Cheque),Maria2169,Broadbent Leather goods,,Creditors,-202.5,"-20,011.80"
,31/12/2021,Transfer,,,,Natwest Saver ****7829,"12,000.00","-8,011.80"
,31/12/2021,Transfer,,,,Natwest Saver ****7829,"20,000.00","11,988.20"
,31/12/2021,Transfer,,,,Natwest Saver ****7829,"15,000.00","26,988.20"
,31/12/2021,Bill Payment (Cheque),Maria2179,Mayfair  Engineering,,Creditors,"-3,606.00","23,382.20"
,31/12/2021,Bill Payment (Cheque),Maria2183,Swieton Brice,,Creditors,-43.69,"23,338.51"
,31/12/2021,Bill Payment (Cheque),Maria2176,John Whitfield,,Creditors,-450,"22,888.51"
,31/12/2021,Bill Payment (Cheque),Maria2182,Revolution Wines,,Creditors,-30,"22,858.51"
,31/12/2021,Bill Payment (Cheque),Maria2178,London Barrel Maker,,Creditors,"-6,480.00","16,378.51"
,31/12/2021,Bill Payment (Cheque),Maria2172,Edgar Brothers,,Creditors,-81.91,"16,296.60"
,31/12/2021,Bill Payment (Cheque),Maria2170,CJB Engineering,,Creditors,"-1,500.00","14,796.60"
,31/12/2021,Bill Payment (Cheque),Maria2175,GWT Media,,Creditors,-28.8,"14,767.80"
,31/12/2021,Bill Payment (Cheque),Maria2190,Worldpay,,Creditors,-145.47,"14,622.33"
,31/12/2021,Bill Payment (Cheque),Maria2189,Wireless Terminal Solutions,,Creditors,-529.6,"14,092.73"
,31/12/2021,Journal Entry,3398,,NatWest current account charge,-Split-,-43.77,"14,048.96"
,31/12/2021,Journal Entry,3411,,Web sale refund,-Split-,-82.5,"13,966.46"
,31/12/2021,Bill Payment (Cheque),Maria2184,The Company of Gunmakers,,Creditors,"-1,231.32","12,735.14"
,31/12/2021,Bill Payment (Cheque),Maria2174,GMK,,Creditors,-432.72,"12,302.42"
,31/12/2021,Bill Payment (Cheque),Maria2177,L W Butler,,Creditors,"-1,134.00","11,168.42"
,31/12/2021,Bill Payment (Cheque),Maria2167,A.S.I Ltd,,Creditors,-154.8,"11,013.62"
,31/12/2021,Bill Payment (Cheque),Maria2171,Coggan Simon Engraver,,Creditors,-40,"10,973.62"
Total for NatWest ****7810,,,,,,,"£5,973.81  ",
Natwest Saver ****7829,,,,,,,,
,Beginning Balance,,,,,,,"23,631.31"
,01/01/2021,Payment,,SHOP SALE,,Debtors,50,"23,681.31"
,04/01/2021,Transfer,,,,Commerzbank,"30,000.00","53,681.31"
,04/01/2021,Transfer,,,,NatWest ****7810,"-10,000.00","43,681.31"
,05/01/2021,Transfer,,,,NatWest ****7810,"-30,000.00","13,681.31"
,06/01/2021,Transfer,,,,Commerzbank,"20,000.00","33,681.31"
,12/12/2021,Transfer,,,,Commerzbank,"70,000.00","120,166.97"
,13/12/2021,Transfer,,,,NatWest ****7810,"-20,000.00","100,166.97"
,14/12/2021,Transfer,,,,NatWest ****7810,"-30,000.00","70,166.97"
,16/12/2021,Payment,,SHOP SALE,,Debtors,185,"70,351.97"
,16/12/2021,Payment,,John Reed,,Debtors,"2,244.00","72,595.97"
,17/12/2021,Payment,,SHOP SALE,,Debtors,162,"72,757.97"
,20/12/2021,Transfer,,,,NatWest ****7810,"-20,000.00","52,757.97"
,20/12/2021,Payment,,Victor  Galea,,Debtors,210,"52,967.97"
,20/12/2021,Transfer,,,,NatWest ****7810,"-100,000.00","-47,032.03"
,20/12/2021,Transfer,,,,Commerzbank,"50,000.00","2,967.97"
,21/12/2021,Payment,,Geoffrey Lignon,,Debtors,104,"3,071.97"
,21/12/2021,Transfer,,,,NatWest ****7810,"-2,000.00","1,071.97"
,21/12/2021,Payment,,Sheikh Hamad Bin Rashid Al-Khalifa,,Debtors,288,"1,359.97"
,22/12/2021,Transfer,,,,Commerzbank,"40,000.00","41,359.97"
,22/12/2021,Payment,,SHOP SALE,,Debtors,69,"41,428.97"
,22/12/2021,Transfer,,,,NatWest ****7810,"-20,000.00","21,428.97"
,27/12/2021,Payment,,Bertrand  Batoux,,Debtors,79.2,"21,508.17"
,31/12/2021,Journal Entry,3399,,interest income,-Split-,0.35,"21,508.52"
,31/12/2021,Transfer,,,,NatWest ****7810,"-20,000.00","1,508.52"
,31/12/2021,Transfer,,,,Commerzbank,"30,000.00","31,508.52"
,31/12/2021,Transfer,,,,NatWest ****7810,"-15,000.00","16,508.52"
,31/12/2021,Transfer,,,,NatWest ****7810,"-12,000.00","4,508.52"
Total for Natwest Saver ****7829,,,,,,,"-£19,122.79  ",
Petty Cash,,,,,,,,
,Beginning Balance,,,,,,,324.38
Total for Petty Cash,,,,,,,,
Debtors,,,,,,,,
,Beginning Balance,,,,,,,"1,055,215.10"
,01/01/2021,Payment,,SHOP SALE,,Natwest Saver ****7829,-50,"1,055,165.10"
,02/01/2021,Payment,,Website Sale,,NatWest ****7810,-142.77,"1,055,022.33"
,02/01/2021,Payment,,Website Sale,,NatWest ****7810,-320.25,"1,054,702.08"
,02/01/2021,Payment,,Website Sale,,NatWest ****7810,-410.64,"1,054,291.44"
,02/01/2021,Payment,,Website Sale,,NatWest ****7810,-570.69,"1,053,720.75"
,02/01/2021,Payment,,Website Sale,,NatWest ****7810,-134.88,"1,053,585.87"
,02/01/2021,Payment,,Website Sale,,NatWest ****7810,-349.83,"1,053,236.04"
,02/01/2021,Payment,,Website Sale,,NatWest ****7810,-78.29,"1,053,157.75"
,02/01/2021,Payment,,Website Sale,,NatWest ****7810,-320.25,"1,052,837.50"
,04/01/2021,Invoice,12064,Website Sale,,Sales of Product Income:UK Sales,211,"1,053,048.50"
,04/01/2021,Payment,,Website Sale,,NatWest ****7810,-207.85,"1,052,840.65"
,04/01/2021,Payment,,Website Sale,,Barter Account,-3.15,"1,052,837.50"
,04/01/2021,Payment,,Website Sale,,Barter Account,-6.22,"1,052,831.28"
,04/01/2021,Payment,,Website Sale,,NatWest ****7810,-352.11,"1,052,479.17"
,04/01/2021,Invoice,12067,David Auger,,Sales of Product Income:Non UK Sales,9,"1,052,488.17"
,04/01/2021,Invoice,12066,Gut Grambow Fieldsports GmbH,,-Split-,385,"1,052,873.17"
,04/01/2021,Invoice,12068,Website Sale,,Sales of Product Income:Non UK Sales,358.33,"1,053,231.50"
,05/01/2021,Payment,,Website Sale,,Barter Account,-5.51,"1,053,225.99"
,05/01/2021,Payment,,Website Sale,,NatWest ****7810,-373.66,"1,052,852.33"
,05/01/2021,Invoice,12069,Website Sale,,Sales of Product Income:Non UK Sales,379.17,"1,053,231.50"
,05/01/2021,Invoice,12070,Blaser USA 1,,-Split-,620,"1,053,851.50"
,06/01/2021,Invoice,12072,Website Sale,,Sales of Product Income:Non UK Sales,125,"1,053,976.50"
,06/01/2021,Payment,,Website Sale,,NatWest ****7810,-121.17,"1,053,855.33"
,06/01/2021,Payment,,Website Sale,,Barter Account,-3.83,"1,053,851.50"
,06/01/2021,Payment,,Website Sale,,NatWest ****7810,-93.02,"1,053,758.48"
,06/01/2021,Invoice,12071,Website Sale,,Sales of Product Income:UK Sales,96,"1,053,854.48"
,06/01/2021,Invoice,12073,Armurerie Nouvelle,,-Split-,"136,500.00","1,190,354.48"
,06/01/2021,Payment,,Website Sale,,Barter Account,-2.98,"1,190,351.50"
,06/01/2021,Payment,,JAFI,,Commerzbank,-700,"1,189,651.50"
,07/01/2021,Payment,,SHOP SALE,,Natwest Saver ****7829,-219,"1,189,432.50"
,07/01/2021,Payment,,Website Sale,,Barter Account,-5.41,"1,189,427.09"
,07/01/2021,Payment,,Website Sale,,NatWest ****7810,-366.59,"1,189,060.50"
,07/01/2021,Payment,,Website Sale,,NatWest ****7810,-103.38,"1,188,957.12"
,07/01/2021,Payment,,Website Sale,,Barter Account,-3.29,"1,188,953.83"
,07/01/2021,Invoice,12076,SHOP SALE,,Sales of Product Income:Non UK Sales,0,"1,188,953.83"
,07/01/2021,Invoice,12077,SHOP SALE,,-Split-,219,"1,189,172.83"
,07/01/2021,Invoice,12075,Website Sale,,Sales of Product Income:Non UK Sales,106.67,"1,189,279.50"
,07/01/2021,Invoice,12074,Website Sale,,Sales of Product Income:UK Sales,372,"1,189,651.50"
,08/01/2021,Invoice,12078,Francesco Lenzerini,,Orders in Hand/Deferred Income,900,"1,190,551.50"
,09/01/2021,Payment,,Marco Schmid,,Commerzbank,"-1,304.00","1,189,247.50"
,09/01/2021,Payment,,Armurerie Nouvelle,,Commerzbank,"-145,356.00","1,043,891.50"
,11/01/2021,Payment,,Website Sale,,NatWest ****7810,-231.87,"1,043,659.63"
,11/01/2021,Payment,,Website Sale,,Barter Account,-7.13,"1,043,652.50"
,11/01/2021,Payment,,Website Sale,,NatWest ****7810,-80.65,"1,043,571.85"
,11/01/2021,Payment,,Website Sale,,Barter Account,-1.75,"1,043,570.10"
,11/01/2021,Payment,,Website Sale,,Barter Account,-0.97,"1,043,569.13"
,11/01/2021,Payment,,Website Sale,,NatWest ****7810,-111.46,"1,043,457.67"
,11/01/2021,Invoice,12079,Website Sale,,Sales of Product Income:Non UK Sales,239,"1,043,696.67"
,11/01/2021,Invoice,12082,Website Sale,,Sales of Product Income:Non UK Sales,55,"1,043,751.67"
,11/01/2021,Invoice,12083,Website Sale,,Sales of Product Income:UK Sales,82,"1,043,833.67"
,11/01/2021,Invoice,12081,Website Sale,,Sales of Product Income:UK Sales,111,"1,043,944.67"
,11/01/2021,Invoice,12080,Website Sale,,Sales of Product Income:Non UK Sales,115,"1,044,059.67"
,11/01/2021,Payment,,Website Sale,,NatWest ****7810,-109.25,"1,043,950.42"
,11/01/2021,Payment,,Website Sale,,Barter Account,-3.54,"1,043,946.88"
,11/01/2021,Payment,,Website Sale,,Barter Account,-1.35,"1,043,945.53"
,11/01/2021,Payment,,Website Sale,,NatWest ****7810,-54.03,"1,043,891.50"
,12/01/2021,Payment,,Website Sale,,NatWest ****7810,-103.38,"1,043,788.12"
,12/01/2021,Payment,,Website Sale,,Barter Account,-3.29,"1,043,784.83"
,12/01/2021,Payment,,Website Sale,,NatWest ****7810,-155.16,"1,043,629.67"
,12/01/2021,Payment,,Website Sale,,Barter Account,-4.84,"1,043,624.83"
,12/01/2021,Payment,,JAFI,,Commerzbank,"-6,055.00","1,037,569.83"
,12/01/2021,Payment,,Steven F Clark,,Commerzbank,"-5,080.00","1,032,489.83"
,12/01/2021,Invoice,12087,Ifzaal  Musa,,Sales of Product Income:Non UK Sales,"1,350.00","1,033,839.83"
,12/01/2021,Invoice,12086,David Auger,,Sales of Product Income:Non UK Sales,24,"1,033,863.83"
,12/01/2021,Invoice,12085,Website Sale,,Sales of Product Income:Non UK Sales,106.67,"1,033,970.50"
,12/01/2021,Invoice,12084,Website Sale,,Sales of Product Income:Non UK Sales,160,"1,034,130.50"
,13/01/2021,Payment,,Website Sale,,NatWest ****7810,-51.07,"1,034,079.43"
,13/01/2021,Payment,,Website Sale,,Barter Account,-3.18,"1,034,076.25"
,13/01/2021,Payment,,Website Sale,,NatWest ****7810,-291.49,"1,033,784.76"
,13/01/2021,Payment,,Website Sale,,Barter Account,-4.34,"1,033,780.42"
,13/01/2021,Invoice,12090,Website Sale,,Sales of Product Income:UK Sales,52,"1,033,832.42"
,13/01/2021,Payment,,Website Sale,,NatWest ****7810,-209.32,"1,033,623.10"
,13/01/2021,Invoice,12092,Blaser USA 1,,-Split-,"1,453.90","1,035,077.00"
,13/01/2021,Invoice,12089,Website Sale,,Sales of Product Income:Non UK Sales,212.5,"1,035,289.50"
,13/01/2021,Invoice,12091,Website Sale,,Sales of Product Income:Non UK Sales,295.83,"1,035,585.33"
,13/01/2021,Payment,,Website Sale,,Barter Account,-0.93,"1,035,584.40"
,14/01/2021,Invoice,12094,L&O Group SA,,-Split-,943.12,"1,036,527.52"
,14/01/2021,Invoice,11972,L&O Group SA,,-Split-,"104,504.65","1,141,032.17"
,15/01/2021,Invoice,12095,Website Sale,,Sales of Product Income:Non UK Sales,166.67,"1,141,198.84"
,15/01/2021,Payment,,Vance Daigle,,Commerzbank,"-15,075.00","1,126,123.84"
,15/01/2021,Invoice,12096,Chris Dianda,,Sales of Product Income:Non UK Sales,250,"1,126,373.84"
,15/01/2021,Payment,,Website Sale,,NatWest ****7810,-161.64,"1,126,212.20"
,15/01/2021,Payment,,Website Sale,,Barter Account,-5.03,"1,126,207.17"
,18/01/2021,Invoice,12102,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Non UK Sales,"1,950.00","1,128,157.17"
,18/01/2021,Payment,,Website Sale,,NatWest ****7810,-79.1,"1,128,078.07"
,18/01/2021,Invoice,12099,Website Sale,,Sales of Product Income:Non UK Sales,560.83,"1,128,638.90"
,18/01/2021,Invoice,12098,Website Sale,,Sales of Product Income:Non UK Sales,81.67,"1,128,720.57"
,18/01/2021,Invoice,12097,Website Sale,,Sales of Product Income:Non UK Sales,198.33,"1,128,918.90"
,18/01/2021,Payment,,Website Sale,,NatWest ****7810,-192.38,"1,128,726.52"
,18/01/2021,Payment,,Website Sale,,Barter Account,-5.95,"1,128,720.57"
,18/01/2021,Credit Note,CN8532,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,"-17,730.17","1,110,990.40"
,18/01/2021,Payment,,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,,"1,110,990.40"
,18/01/2021,Payment,,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,,"1,110,990.40"
,18/01/2021,Payment,,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,,"1,110,990.40"
,18/01/2021,Payment,,Website Sale,,Barter Account,-8.05,"1,110,982.35"
,18/01/2021,Payment,,Website Sale,,Barter Account,-2.57,"1,110,979.78"
,18/01/2021,Payment,,Website Sale,,NatWest ****7810,-552.78,"1,110,427.00"
,18/01/2021,Invoice,12101,Sheikh Salman Bin Ebrahim Al-Khalifa,,Sales of Product Income:Non UK Sales,"2,267.00","1,112,694.00"
,19/01/2021,Invoice,12104,Website Sale,,-Split-,41,"1,112,735.00"
,19/01/2021,Invoice,12103,Website Sale,,Sales of Product Income:Non UK Sales,628.33,"1,113,363.33"
,19/01/2021,Payment,,Sheikh Khalid Bin Ibrahim Al-Khalifa,,Commerzbank,"-7,173.43","1,106,189.90"
,19/01/2021,Payment,,Website Sale,,NatWest ****7810,-40.23,"1,106,149.67"
,19/01/2021,Payment,,Website Sale,,Barter Account,-18.42,"1,106,131.25"
,19/01/2021,Payment,,Website Sale,,NatWest ****7810,-609.91,"1,105,521.34"
,19/01/2021,Payment,,Website Sale,,Barter Account,-0.77,"1,105,520.57"
,20/01/2021,Payment,,Paul F Barnhart Jr,,Commerzbank,"-63,022.50","1,042,498.07"
,21/01/2021,Invoice,12106,Website Sale,,Sales of Product Income:Non UK Sales,681.67,"1,043,179.74"
,21/01/2021,Payment,,Website Sale,,Barter Account,-11.8,"1,043,167.94"
,21/01/2021,Invoice,12107,Armurerie Nouvelle,,Sales of Product Income:Non UK Sales,900,"1,044,067.94"
,21/01/2021,Invoice,12105,Website Sale,,Sales of Product Income:UK Sales,197,"1,044,264.94"
,21/01/2021,Invoice,12110,Website Sale,,Sales of Product Income:Non UK Sales,157.5,"1,044,422.44"
,21/01/2021,Invoice,12109,Website Sale,,Sales of Product Income:Non UK Sales,400,"1,044,822.44"
,21/01/2021,Payment,,Website Sale,,Barter Account,-19.97,"1,044,802.47"
,21/01/2021,Payment,,Website Sale,,NatWest ****7810,-661.7,"1,044,140.77"
,21/01/2021,Payment,,Website Sale,,NatWest ****7810,-194.04,"1,043,946.73"
,21/01/2021,Payment,,Website Sale,,Barter Account,-2.96,"1,043,943.77"
,21/01/2021,Payment,,Mauritz Widforss AB,,Commerzbank,"-1,300.00","1,042,643.77"
,21/01/2021,Payment,,Website Sale,,Barter Account,-2.41,"1,042,641.36"
,21/01/2021,Payment,,Website Sale,,NatWest ****7810,-155.09,"1,042,486.27"
,21/01/2021,Payment,,Website Sale,,NatWest ****7810,-388.2,"1,042,098.07"
,21/01/2021,Invoice,12108,L&O Group SA,,Sales of Product Income:Non UK Sales,"4,017.00","1,046,115.07"
,22/01/2021,Invoice,12113,Website Sale,,Sales of Product Income:Non UK Sales,310,"1,046,425.07"
,22/01/2021,Invoice,12111,Website Sale,,Sales of Product Income:Non UK Sales,111.67,"1,046,536.74"
,22/01/2021,Invoice,12112,Website Sale,,Sales of Product Income:Non UK Sales,790,"1,047,326.74"
,22/01/2021,Payment,,Website Sale,,NatWest ****7810,-300.81,"1,047,025.93"
,22/01/2021,Payment,,Website Sale,,Barter Account,-9.19,"1,047,016.74"
,22/01/2021,Payment,,Lupus,,Commerzbank,"-5,000.00","1,042,016.74"
,22/01/2021,Payment,,Website Sale,,NatWest ****7810,-766.89,"1,041,249.85"
,22/01/2021,Payment,,Website Sale,,NatWest ****7810,-108.23,"1,041,141.62"
,22/01/2021,Payment,,Website Sale,,Barter Account,-3.44,"1,041,138.18"
,22/01/2021,Payment,,Ifzaal  Musa,,Commerzbank,"-9,000.00","1,032,138.18"
,22/01/2021,Payment,,Website Sale,,Barter Account,-23.11,"1,032,115.07"
,25/01/2021,Invoice,12117,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Non UK Sales,"4,000.00","1,036,115.07"
,25/01/2021,Invoice,12118,Thomas Hill,,Sales of Product Income:Non UK Sales,0,"1,036,115.07"
,25/01/2021,Invoice,12116,David Auger,,Sales of Product Income:Non UK Sales,"2,000.00","1,038,115.07"
,25/01/2021,Invoice,12115,Website Sale,,Sales of Product Income:Non UK Sales,110.83,"1,038,225.90"
,25/01/2021,Payment,,Website Sale,,NatWest ****7810,-236.89,"1,037,989.01"
,25/01/2021,Payment,,Website Sale,,Barter Account,-7.28,"1,037,981.73"
,25/01/2021,Payment,,Website Sale,,Barter Account,-3.41,"1,037,978.32"
,25/01/2021,Payment,,Website Sale,,NatWest ****7810,-107.42,"1,037,870.90"
,25/01/2021,Invoice,12114,Website Sale,,Sales of Product Income:Non UK Sales,244.17,"1,038,115.07"
,26/01/2021,Payment,,HH Sheikh Mohammed Al-Sharqi,,Barter Account,-12,"1,038,103.07"
,26/01/2021,Payment,,HH Sheikh Mohammed Al-Sharqi,,Commerzbank,"-99,988.00","938,115.07"
,29/01/2021,Invoice,12120,Website Sale,,Sales of Product Income:Non UK Sales,207.5,"938,322.57"
,29/01/2021,Invoice,12128,Sheikh Salman Bin Ebrahim Al-Khalifa,,Sales of Product Income:Non UK Sales,"6,041.00","944,363.57"
,29/01/2021,Payment,,Stephen Anderson,,-Split-,,"944,363.57"
,29/01/2021,Credit Note,12123,Stephen Anderson,,Sales of Product Income:Non UK Sales,-900,"943,463.57"
,29/01/2021,Payment,,Website Sale,,Barter Account,-3.11,"943,460.46"
,29/01/2021,Invoice,12122,Sheikh Khalid Bin Ibrahim Al-Khalifa,,-Split-,"11,786.20","955,246.66"
,29/01/2021,Invoice,12121,Website Sale,,Sales of Product Income:Non UK Sales,45.83,"955,292.49"
,29/01/2021,Payment,,Website Sale,,Barter Account,-0.84,"955,291.65"
,30/01/2021,Payment,,Vance Daigle,,Commerzbank,"-26,437.02","928,854.63"
,01/02/2021,Invoice,12125,Website Sale,,Sales of Product Income:Non UK Sales,83.33,"928,937.96"
,01/02/2021,Invoice,12127,SHOP SALE,,Sales of Product Income:UK Sales,200,"929,137.96"
,01/02/2021,Invoice,12126,Website Sale,,Sales of Product Income:UK Sales,257,"929,394.96"
,01/02/2021,Invoice,12124,Website Sale,,Sales of Product Income:UK Sales,102,"929,496.96"
,01/02/2021,Payment,,Website Sale,,Barter Account,-1.37,"929,495.59"
,01/02/2021,Payment,,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,,"929,495.59"
,01/02/2021,Payment,,Website Sale,,Barter Account,-3.8,"929,491.79"
,01/02/2021,Payment,,Website Sale,,NatWest ****7810,-81.96,"929,409.83"
,01/02/2021,Payment,,Website Sale,,NatWest ****7810,-100.37,"929,309.46"
,01/02/2021,Payment,,Website Sale,,Barter Account,-1.63,"929,307.83"
,01/02/2021,Payment,,SHOP SALE,,Natwest Saver ****7829,-200,"929,107.83"
,01/02/2021,Payment,,Website Sale,,NatWest ****7810,-253.2,"928,854.63"
,02/02/2021,Invoice,12129,Website Sale,,Sales of Product Income:UK Sales,292,"929,146.63"
,02/02/2021,Payment,,Website Sale,,NatWest ****7810,-44.99,"929,101.64"
,02/02/2021,Payment,,Website Sale,,NatWest ****7810,-287.71,"928,813.93"
,02/02/2021,Payment,,Website Sale,,Barter Account,-4.29,"928,809.64"
,02/02/2021,Payment,,Website Sale,,NatWest ****7810,-204.39,"928,605.25"
,03/02/2021,Invoice,12130,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Non UK Sales,800,"929,405.25"
