,Manufacturer,Model_Name,Category,Screen_Size_Inches,Screen,CPU,CPU_Brands,RAM_GB,Storage,Storage_Type,GPU,GPU_Brands,Operating_System,Operating_System_Version,Weight,Resolution & Weight,Price_Euros
167,Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.56kg,1920x1080  ------>  2.56kg,"1060,49"
168,Acer,Aspire A517-51G,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"854,00"
174,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 930MX,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"923,00"
177,MSI,GT80S 6QF-074US,Gaming,18.4,Full HD 1920x1080,Intel Core i7 6920HQ 2.9GHz,Intel,32,512GB SSD +  1TB HDD,SSD,Nvidia GTX 980 SLI,Nvidia,Windows,10,4.4kg,1920x1080  ------>  4.4kg,"2799,00"
184,Xiaomi,Mi Notebook,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,No OS,,1.95kg,1920x1080  ------>  1.95kg,"1199,00"
185,Dell,Inspiron 7773,Notebook,17.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce 150MX,Nvidia,Windows,10,2.77kg,1920x1080  ------>  2.77kg,"1549,00"
186,Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.06kg,3840x2160  ------>  2.06kg,"2397,00"
187,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,No OS,,2.4kg,1920x1080  ------>  2.4kg,"779,00"
192,Xiaomi,Mi Notebook,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,No OS,,1.3kg,1920x1080  ------>  1.3kg,"999,90"
193,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,1600x900,Intel Core i5 8250U 1.6GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,No OS,,2.8kg,1600x900  ------>  2.8kg,"698,00"
195,HP,ProBook 470,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 930MX,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"914,00"
196,Razer,Blade Pro,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,Intel,32,1TB SSD,SSD,Nvidia GeForce GTX 1080,Nvidia,Windows,10,3.49kg,3840x2160  ------>  3.49kg,"6099,00"
198,HP,Omen 17-W295,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,3.35kg,1920x1080  ------>  3.35kg,"1379,00"
199,HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 930MX ,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"1045,00"
200,Dell,Inspiron 7577,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.65kg,3840x2160  ------>  2.65kg,"1845,00"
202,Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.23kg,1920x1080  ------>  2.23kg,"742,00"
203,Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,3.2kg,1920x1080  ------>  3.2kg,"1749,00"
204,Dell,Precision 7520,Workstation,15.6,4K Ultra HD 3840x2160,Intel Xeon E3-1505M V6 3GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,2.8kg,3840x2160  ------>  2.8kg,"3055,00"
205,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce GTX 1060,Nvidia,No OS,,2.4kg,1920x1080  ------>  2.4kg,"1398,00"
210,Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 1050,Nvidia,Linux,,2.4kg,1920x1080  ------>  2.4kg,"779,00"
211,Asus,ROG GL703VD-GC028T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.9kg,1920x1080  ------>  2.9kg,"1407,00"
216,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 940MX,Nvidia,No OS,,2.8kg,1600x900  ------>  2.8kg,"589,00"
217,HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 930MX,Nvidia,Windows,10,1.63kg,1920x1080  ------>  1.63kg,"1031,00"
224,Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,4.42kg,1920x1080  ------>  4.42kg,"2456,34"
225,Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"832,00"
227,Asus,Vivobook X541UV-DM1217T,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 920MX ,Nvidia,Windows,10,2kg,1920x1080  ------>  2kg,"769,00"
228,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8,256GB SSD +  500GB HDD,SSD,Nvidia GeForce GTX 950M,Nvidia,Windows,10,2.69kg,1920x1080  ------>  2.69kg,"891,00"
232,Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,3.2kg,1920x1080  ------>  3.2kg,"1499,00"
238,Asus,ROG G703VI-E5062T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,Intel,32,512GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1080,Nvidia,Windows,10,4.7kg,1920x1080  ------>  4.7kg,"3890,00"
239,Acer,Nitro AN515-51,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"846,00"
241,Asus,VivoBook Pro,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce 150MX,Nvidia,Windows,10,2.1kg,1920x1080  ------>  2.1kg,"1145,00"
242,Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 950M,Nvidia,No OS,,2.69kg,1920x1080  ------>  2.69kg,"889,00"
243,Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.56kg,1920x1080  ------>  2.56kg,"879,00"
247,Asus,Rog G701VIK-BA060T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,Intel,16,256GB SSD,SSD,Nvidia GeForce GTX 1080,Nvidia,Windows,10,3.6kg,1920x1080  ------>  3.6kg,"2999,00"
251,Asus,ROG G752VSK-GC493T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 980M,Nvidia,Windows,10,4.3kg,1920x1080  ------>  4.3kg,"1799,00"
254,Acer,Aspire 5,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,Intel,4,256GB SSD,SSD,Nvidia GeForce MX130,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"702,00"
257,HP,Envy 17-U275cl,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,16,1TB HDD,HDD,Nvidia GeForce MX150,Nvidia,Windows,10,2.9kg,1920x1080  ------>  2.9kg,"1059,00"
258,MSI,GT73EVR 7RE,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,4.14kg,1920x1080  ------>  4.14kg,"2499,00"
259,Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,512GB SSD,SSD,Nvidia GeForce GTX 1050M,Nvidia,Windows,10,2kg,1920x1080  ------>  2kg,"1699,00"
268,HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 930MX ,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"1018,00"
274,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,Intel,8,500GB HDD,HDD,Nvidia GeForce 930M,Nvidia,Windows,10,2.2kg,1366x768  ------>  2.2kg,"812,00"
277,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce MX130,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"745,00"
279,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,2TB HDD,HDD,Nvidia GeForce MX150,Nvidia,No OS,,2.8kg,1920x1080  ------>  2.8kg,"849,00"
280,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7GHz,Intel,6,128GB SSD +  1TB HDD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.8kg,1600x900  ------>  2.8kg,"859,00"
282,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"829,00"
284,Acer,Aspire A517-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"951,00"
287,Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.7kg,1920x1080  ------>  1.7kg,"977,00"
288,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"1179,00"
289,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 940MX,Nvidia,No OS,,2.2kg,1920x1080  ------>  2.2kg,"659,01"
291,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"1187,00"
293,Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2kg,1920x1080  ------>  2kg,"1829,00"
295,Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,3.2kg,1920x1080  ------>  3.2kg,"1299,00"
296,Acer,Aspire A715-71G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Linux,,2.5kg,1920x1080  ------>  2.5kg,"979,00"
297,Dell,Precision 7720,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,Intel,16,256GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,3.42kg,1920x1080  ------>  3.42kg,"2884,86"
