"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Colombia,"6,359,464",,"142,615                                ",,"6,182,304",,"34,545",342,"123,454","2,769","36,951,507","717,327","51,512,762 ",South America,8,361,1,,,671
Austria,"5,878,713",,"21,848                                ",,"5,806,835",,"50,030",40,"648,384","2,410","211,273,524","23,302,116","9,066,710 ",Europe,2,415,0,,,"5,518"
Greece,"5,842,655",,"36,066                                ",,"5,795,401","+15,393","11,188",115,"566,333","3,496","102,228,365","9,909,078","10,316,637 ",Europe,2,286,0,,,"1,084"
Portugal,"5,566,708",,"26,117                                ",,"5,536,772",,"3,819",61,"548,954","2,575","45,968,702","4,533,148","10,140,570 ",Europe,2,388,0,,,377
Ukraine,"5,382,095",,"111,175                                ",,"5,261,929",,"8,991",,"124,608","2,574","32,603,805","754,855","43,192,122 ",Europe,8,389,1,,,208
Chile,"5,154,106",,"64,109                                ",,"5,085,460",,"4,537",79,"267,743","3,330","48,367,600","2,512,577","19,250,195 ",South America,4,300,0,,,236
Malaysia,"5,041,587",,"36,957                                ",,"4,995,306",,"9,324",8,"151,942","1,114","68,009,122","2,049,636","33,181,072 ",Asia,7,898,0,,,281
Israel,"4,795,887",,"12,256                                ",,"4,781,252",,"2,379",57,"514,249","1,314","41,373,364","4,436,346","9,326,000 ",Asia,2,761,0,,,255
DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,"183,636",3,,,"25,990,679 ",Asia,5,"351,225",,,,
Thailand,"4,727,831",,"33,902                                ",,"4,692,636",,"1,293",N/A,"67,465",484,"17,270,775","246,450","70,078,203 ",Asia,15,"2,067",4,,,18
Belgium,"4,708,273",,"33,663                                ",,"4,656,734",+368,"17,876",43,"403,511","2,885","36,665,011","3,142,281","11,668,278 ",Europe,2,347,0,,,"1,532"
Czechia,"4,604,427",,"42,404                                ",+2,"4,552,840",+142,"9,183",40,"428,846","3,949","56,979,812","5,306,972","10,736,784 ",Europe,2,253,0,,0.2,855
Canada,"4,581,763",,"51,061                                ",,"4,491,319","+1,576","39,383",99,"119,353","1,330","66,343,123","1,728,207","38,388,419 ",North America,8,752,1,,,"1,026"
Peru,"4,485,003",+100,"219,378                                ",+13,"4,263,671",+170,"1,954",48,"133,149","6,513","37,979,583","1,127,519","33,684,208 ",South America,8,154,1,3,0.4,58
Switzerland,"4,408,833",,"14,452                                ",,"4,370,447",,"23,934",45,"502,509","1,647","23,833,472","2,716,487","8,773,637 ",Europe,2,607,0,,,"2,728"
Philippines,"4,075,757",,"66,051                                ",,"4,000,503",,"9,203",162,"36,226",587,"34,543,739","307,031","112,508,994 ",Asia,28,"1,703",3,,,82
South Africa,"4,061,085",,"102,595                                ",,"3,912,506",,"45,984",192,"66,842","1,689","26,473,049","435,726","60,756,135 ",Africa,15,592,2,,,757
Romania,"3,335,131",,"67,675                                ",,"3,260,130",,"7,326",115,"175,244","3,556","26,603,809","1,397,895","19,031,335 ",Europe,6,281,1,,,385
Denmark,"3,174,821",,"8,239                                ",,"3,165,606",,976,19,"544,104","1,412","129,187,461","22,140,286","5,834,950 ",Europe,2,708,0,,,167
Hong Kong,"2,882,682",,"13,445                                ",,"2,826,768",,"42,469",28,"379,086","1,768","76,127,725","10,011,143","7,604,299 ",Asia,3,566,0,,,"5,585"
Sweden,"2,697,159",,"23,604                                ",,"2,669,505",+218,"4,050",6,"263,936","2,310","19,458,009","1,904,106","10,218,971 ",Europe,4,433,1,,,396
Serbia,"2,487,935",,"17,788                                ",,"2,456,407",,"13,740",21,"287,522","2,056","12,349,305","1,427,168","8,653,016 ",Europe,3,486,1,,,"1,588"
Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,17,"1,662",2,,,16
Singapore,"2,222,006",,"1,722                                ",,"2,149,583",,"70,701",1,"373,852",290,"24,756,666","4,165,302","5,943,546 ",Asia,3,"3,452",0,,,"11,895"
New Zealand,"2,207,775",,"3,864                                ",,"2,197,123",,"6,788",,"450,732",789,"7,768,604","1,586,011","4,898,203 ",Australia/Oceania,2,"1,268",1,,,"1,386"
Hungary,"2,194,969",,"48,745                                ",,"2,142,682",,"3,542",6,"228,494","5,074","11,394,556","1,186,160","9,606,259 ",Europe,4,197,1,,,369
Bangladesh,"2,037,773",,"29,445                                ",,"1,998,448",,"9,880",N/A,"12,138",175,"15,254,399","90,862","167,885,689 ",Asia,82,"5,702",11,,,59
Slovakia,"1,862,495",+100,"21,011                                ",+3,"1,840,373",+67,"1,111",16,"341,104","3,848","7,400,823","1,355,414","5,460,193 ",Europe,3,260,1,18,0.5,203
Georgia,"1,825,598",,"16,965                                ",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738 ",Asia,2,234,0,,,"8,084"
Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,6,729,1,,,181
Ireland,"1,702,523",,"8,629                                ",,"1,691,358",+15,"2,536",18,"339,135","1,719","13,003,038","2,590,144","5,020,199 ",Europe,3,582,0,,,505
Pakistan,"1,576,796",+36,"30,641                                ",,"1,538,689",,"7,466",13,"6,871",134,"30,570,862","133,213","229,488,994 ",Asia,146,"7,490",8,0.2,,33
Norway,"1,478,767",,"5,112                                ",,"1,472,983",,672,20,"268,312",928,"11,002,430","1,996,315","5,511,370 ",Europe,4,"1,078",1,,,122
Finland,"1,461,583",,"8,859                                ",,"1,451,321",+52,"1,403",21,"263,113","1,595","12,041,358","2,167,677","5,554,960 ",Europe,4,627,0,,,253
Kazakhstan,"1,407,351",,"13,846                                ",,"1,383,020",,"10,485",24,"73,280",721,"11,575,012","602,707","19,205,043 ",Asia,14,"1,387",2,,,546
Slovenia,"1,326,367",,"7,067                                ",,"1,315,958",,"3,342",6,"638,280","3,401","2,834,333","1,363,949","2,078,034 ",Europe,2,294,1,,,"1,608"
Lithuania,"1,303,362",+322,"9,582                                ",+2,"1,288,000",+309,"5,780",8,"489,671","3,600","10,373,322","3,897,243","2,661,708 ",Europe,2,278,0,121,0.8,"2,172"
Bulgaria,"1,296,450",,"38,208                                ",,"1,255,446",,"2,796",25,"189,412","5,582","11,041,500","1,613,170","6,844,597 ",Europe,5,179,1,,,408
Morocco,"1,272,411",,"16,296                                ",,"1,256,045",,70,3,"33,686",431,"12,972,026","343,423","37,772,756 ",Africa,30,"2,318",3,,,2
Croatia,"1,268,666",,"17,950                                ",,"1,250,175",,541,10,"312,534","4,422","5,503,682","1,355,825","4,059,286 ",Europe,3,226,1,,,133
Guatemala,"1,234,843",,"20,160                                ",,"1,213,424",,"1,259",5,"66,446","1,085","6,891,394","370,823","18,584,039 ",North America,15,922,3,,,68
Lebanon,"1,231,303",,"10,821                                ",,"1,087,587",,"132,895",74,"184,193","1,619","4,795,578","717,380","6,684,849 ",Asia,5,618,1,,,"19,880"
Costa Rica,"1,199,055",,"9,214                                ",,"860,711",,"329,130",52,"231,373","1,778","4,659,757","899,158","5,182,354 ",North America,4,562,1,,,"63,510"
Bolivia,"1,192,283",,"22,362                                ",,"1,155,678",,"14,243",220,"99,418","1,865","2,705,422","225,590","11,992,656 ",South America,10,536,4,,,"1,188"
Tunisia,"1,150,793",,"29,330                                ",,N/A,N/A,N/A,44,"95,528","2,435","5,001,397","415,169","12,046,656 ",Africa,10,411,2,,,951
Cuba,"1,112,561",,"8,530                                ",,"1,103,956",,75,2,"98,408",754,"14,314,110","1,266,102","11,305,652 ",North America,10,"1,325",1,,,7
Ecuador,"1,056,578",,"36,008                                ",,"1,015,999",,"4,571",759,"58,331","1,988","3,082,403","170,173","18,113,361 ",South America,17,503,6,,,252
UAE,"1,051,336",,"2,348                                ",,"1,034,628",,"14,360",,"104,281",233,"199,104,417","19,748,925","10,081,785 ",Asia,10,"4,294",0,,,"1,424"
Uruguay,"1,034,046",,"7,617                                ",,"1,025,995",,434,18,"295,778","2,179","6,114,822","1,749,083","3,496,016 ",South America,3,459,1,,,124
Panama,"1,030,658",,"8,600                                ",,"1,021,441",,617,16,"231,767","1,934","7,491,978","1,684,740","4,446,964 ",North America,4,517,1,,,139
